MeSH_Compound:D013015	-drug_participates_in_pathway->	Reactome_Pathway:R-HSA-390696
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0070062
UniProt:Q71DI3	located_in	cellular_component:0070062
UniProt:Q71DI3	located_in	cellular_component:0070062
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-9610379
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	enables	molecular_function:0005515
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-2559582
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3214841
UniProt:Q71DI3	involved_in	biological_process:0006334
UniProt:Q71DI3	involved_in	biological_process:0006334
UniProt:Q71DI3	located_in	cellular_component:0005576
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-427359
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-9616222
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-1266695
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-8936459
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-977225
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-73728
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-5250924
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-212300
UniProt:Q71DI3	enables	molecular_function:0030527
UniProt:Q71DI3	located_in	cellular_component:0005634
UniProt:Q71DI3	located_in	cellular_component:0005634
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-201722
UniProt:Q71DI3	enables	molecular_function:0003677
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-427413
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-2299718
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3214842
UniProt:Q71DI3	is_active_in	cellular_component:0005634
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-9018519
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-2559580
UniProt:Q71DI3	part_of	cellular_component:0000786
UniProt:Q71DI3	part_of	cellular_component:0000786
UniProt:Q71DI3	part_of	cellular_component:0000786
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-68616
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-8939236
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3214847
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-9609690
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-912446
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3247509
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-73772
UniProt:Q71DI3	enables	molecular_function:0046982
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-5334118
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-983231
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-5625886
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-9710421
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-5617472
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-5578749
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3214858
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-1912408
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-427389
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	located_in	cellular_component:0005829
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-164843
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	located_in	cellular_component:0005654
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	enables	molecular_function:0005515
UniProt:O75475	involved_in	biological_process:0006979
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-162592
UniProt:O75475	involved_in	biological_process:0006357
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-180689
UniProt:O75475	enables	molecular_function:0097100
UniProt:O75475	enables	molecular_function:0003723
UniProt:O75475	enables	molecular_function:0003723
UniProt:O75475	is_active_in	cellular_component:0005634
UniProt:O75475	enables	molecular_function:0003690
UniProt:O75475	located_in	cellular_component:0000791
UniProt:O75475	involved_in	biological_process:0006354
UniProt:O75475	involved_in	biological_process:0000395
UniProt:O75475	involved_in	biological_process:0009408
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-177539
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-180910
UniProt:O75475	enables	molecular_function:0003712
UniProt:O75475	-may_participate_in->	Reactome_Pathway:R-HSA-175567
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013404
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013148
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-5655302
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013149
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-8980692
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013106
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013423
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-1839117
Entrez:613	-may_participate_in->	Reactome_Pathway:R-HSA-9013026
MeSH_Disease:D007945	-is-	MeSH_Tree_Disease:C15.604.515.560
MeSH_Disease:D007945	-is-	MeSH_Tree_Disease:C20.683.515.528
MeSH_Disease:D007945	-is-	MeSH_Tree_Disease:C04.557.337.428
MeSH_Anatomy:D008526	-is-	MeSH_Tree_Anatomy:A08.186.211.132.810.591.500
UniProt:P48378	enables	molecular_function:0000981
UniProt:P48378	enables	molecular_function:0000981
UniProt:P48378	enables	molecular_function:0000978
UniProt:P48378	enables	molecular_function:0000978
UniProt:P48378	enables	molecular_function:0000978
UniProt:P48378	located_in	cellular_component:0005634
UniProt:P48378	enables	molecular_function:1990837
UniProt:P48378	involved_in	biological_process:0007286
UniProt:P48378	involved_in	biological_process:0006357
UniProt:P48378	involved_in	biological_process:0006357
UniProt:P48378	involved_in	biological_process:0006357
UniProt:P48378	enables	molecular_function:0001228
UniProt:P48378	involved_in	biological_process:1990830
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	enables	molecular_function:0005515
UniProt:P48378	involved_in	biological_process:0060271
UniProt:P48378	enables	molecular_function:0003677
UniProt:P48378	enables	molecular_function:0003700
UniProt:P48378	enables	molecular_function:0003700
UniProt:P48378	located_in	cellular_component:0000785
UniProt:P48378	involved_in	biological_process:0001675
UniProt:P48378	located_in	cellular_component:0005737
UniProt:P48378	involved_in	biological_process:0045944
UniProt:Q96N87	involved_in	biological_process:0006836
UniProt:Q96N87	enables	molecular_function:0015171
UniProt:Q96N87	enables	molecular_function:0015171
UniProt:Q96N87	located_in	cellular_component:0016324
UniProt:Q96N87	located_in	cellular_component:0005886
UniProt:Q96N87	located_in	cellular_component:0005886
UniProt:Q96N87	located_in	cellular_component:0005886
UniProt:Q96N87	enables	molecular_function:0015293
UniProt:Q96N87	involved_in	biological_process:0006865
UniProt:Q96N87	-may_participate_in->	Reactome_Pathway:R-HSA-352230
UniProt:Q96N87	-may_participate_in->	Reactome_Pathway:R-HSA-5619079
UniProt:Q96N87	-may_participate_in->	Reactome_Pathway:R-HSA-442660
UniProt:Q96N87	involved_in	biological_process:0035725
UniProt:Q96N87	located_in	cellular_component:0031526
UniProt:Q96N87	-may_participate_in->	Reactome_Pathway:R-HSA-5659729
UniProt:Q96N87	involved_in	biological_process:0003333
UniProt:Q96N87	NOT|involved_in	biological_process:0006865
UniProt:Q96N87	NOT|contributes_to	molecular_function:0015171
Entrez:348932	-may_participate_in->	Reactome_Pathway:R-HSA-5659729
Entrez:348932	-may_participate_in->	Reactome_Pathway:R-HSA-352230
Entrez:348932	-may_participate_in->	Reactome_Pathway:R-HSA-442660
Entrez:348932	-may_participate_in->	Reactome_Pathway:R-HSA-5619079
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C06.405.469.860.180
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C06.405.249.411.307
MeSH_Disease:D015179	-disease_involves->	Reactome_Pathway:R-HSA-9608290
MeSH_Disease:D015179	-disease_involves->	Reactome_Pathway:R-HSA-9605310
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C06.405.469.491.307
MeSH_Disease:D015179	-disease_involves->	Reactome_Pathway:R-HSA-5339700
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C06.405.469.158.356
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C06.301.371.411.307
MeSH_Disease:D015179	-disease_involves->	Reactome_Pathway:R-HSA-9608287
MeSH_Disease:D015179	-is-	MeSH_Tree_Disease:C04.588.274.476.411.307
MeSH_Disease:D015179	-disease_involves->	Reactome_Pathway:R-HSA-5083636
MeSH_Disease:D003394	-is-	MeSH_Tree_Disease:C16.131.621.207.231
MeSH_Disease:D003394	-is-	MeSH_Tree_Disease:C05.116.099.370.231
MeSH_Disease:D003394	-is-	MeSH_Tree_Disease:C05.660.207.231
MeSH_Disease:D009196	-is-	MeSH_Tree_Disease:C15.378.190.636
MeSH_Disease:D006973	-is-	MeSH_Tree_Disease:C14.907.489
MeSH_Disease:D015746	-is-	MeSH_Tree_Disease:C23.888.592.612.054
MeSH_Disease:D015746	-is-	MeSH_Tree_Disease:C23.888.821.030
MeSH_Disease:D000006	-is-	MeSH_Tree_Disease:C23.888.821.030.249
MeSH_Disease:D000006	-is-	MeSH_Tree_Disease:C23.888.592.612.054.200
MeSH_Disease:D010146	-is-	MeSH_Tree_Disease:C23.888.592.612
MeSH_Disease:D010149	-is-	MeSH_Tree_Disease:C23.888.592.612.832
MeSH_Disease:D010149	-is-	MeSH_Tree_Disease:C23.550.767.700
MeSH_Disease:D011183	-is-	MeSH_Tree_Disease:C23.550.767
MeSH_Disease:D000343	-is-	MeSH_Tree_Disease:C23.550.767.050
MeSH_Disease:D000343	-is-	MeSH_Tree_Disease:C06.405.469.531.099
MeSH_Disease:D007415	-is-	MeSH_Tree_Disease:C06.405.469.531
UniProt:O95271	acts_upstream_of_or_within	biological_process:0018107
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	enables	molecular_function:0005515
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	located_in	cellular_component:0005829
UniProt:O95271	enables	molecular_function:0008270
UniProt:O95271	involved_in	biological_process:0070213
UniProt:O95271	involved_in	biological_process:0070213
UniProt:O95271	involved_in	biological_process:0070213
UniProt:O95271	involved_in	biological_process:0070213
UniProt:O95271	located_in	cellular_component:0097431
UniProt:O95271	involved_in	biological_process:1904908
UniProt:O95271	enables	molecular_function:1990404
UniProt:O95271	involved_in	biological_process:0070212
UniProt:O95271	involved_in	biological_process:0070212
UniProt:O95271	involved_in	biological_process:0070212
UniProt:O95271	involved_in	biological_process:0070212
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	enables	molecular_function:0003950
UniProt:O95271	located_in	cellular_component:0000781
UniProt:O95271	located_in	cellular_component:0000781
UniProt:O95271	located_in	cellular_component:0000781
UniProt:O95271	involved_in	biological_process:0015031
UniProt:O95271	involved_in	biological_process:0015031
UniProt:O95271	located_in	cellular_component:0016604
UniProt:O95271	involved_in	biological_process:0006471
UniProt:O95271	involved_in	biological_process:0006471
UniProt:O95271	involved_in	biological_process:0006471
UniProt:O95271	located_in	cellular_component:0000242
UniProt:O95271	acts_upstream_of_or_within	biological_process:0006471
UniProt:O95271	involved_in	biological_process:0051028
UniProt:O95271	-may_participate_in->	Reactome_Pathway:R-HSA-5689880
UniProt:O95271	located_in	cellular_component:0000139
UniProt:O95271	involved_in	biological_process:0051973
UniProt:O95271	-may_participate_in->	Reactome_Pathway:R-HSA-5545619
UniProt:O95271	located_in	cellular_component:0005794
UniProt:O95271	involved_in	biological_process:0000209
UniProt:O95271	involved_in	biological_process:0000209
UniProt:O95271	is_active_in	cellular_component:0005737
UniProt:O95271	involved_in	biological_process:1904743
UniProt:O95271	involved_in	biological_process:1904743
UniProt:O95271	involved_in	biological_process:0070198
UniProt:O95271	involved_in	biological_process:0070198
UniProt:O95271	involved_in	biological_process:0070198
UniProt:O95271	involved_in	biological_process:0090263
UniProt:O95271	involved_in	biological_process:0090263
UniProt:O95271	involved_in	biological_process:0090263
UniProt:O95271	involved_in	biological_process:0090263
UniProt:O95271	involved_in	biological_process:0007052
UniProt:O95271	located_in	cellular_component:0031965
UniProt:O95271	located_in	cellular_component:0031965
UniProt:O95271	involved_in	biological_process:0032210
UniProt:O95271	is_active_in	cellular_component:0005634
UniProt:O95271	involved_in	biological_process:0032212
UniProt:O95271	involved_in	biological_process:0032212
UniProt:O95271	involved_in	biological_process:0032212
UniProt:O95271	involved_in	biological_process:1904355
UniProt:O95271	involved_in	biological_process:1904355
UniProt:O95271	involved_in	biological_process:1904355
UniProt:O95271	involved_in	biological_process:1904357
UniProt:O95271	acts_upstream_of_or_within	biological_process:0018105
UniProt:O95271	enables	molecular_function:0042393
UniProt:O95271	involved_in	biological_process:0045944
UniProt:O95271	-may_participate_in->	Reactome_Pathway:R-HSA-8948751
UniProt:O95271	part_of	cellular_component:0005643
UniProt:O95271	-may_participate_in->	Reactome_Pathway:R-HSA-201681
UniProt:O95271	involved_in	biological_process:0051225
UniProt:O95271	involved_in	biological_process:0051301
UniProt:O95271	involved_in	biological_process:0016055
UniProt:O95271	-may_participate_in->	Reactome_Pathway:R-HSA-4641257
UniProt:O95271	located_in	cellular_component:0005654
UniProt:Q9H2J4	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P62304	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:P29084	located_in	cellular_component:0005654
UniProt:Q96JN0	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
UniProt:P19387	located_in	cellular_component:0005654
